,0
393,"['new', 'burts', 'bees', 'goodness', 'glows', 'foundation', 'first', 'impression', 'demo', 'days', 'foundation']"
394,"['watermelon', 'freakshake', 'cupcakes', 'scran', 'line']"
395,"['people', 'awesome', 'girls', 'edition']"
396,"['jackie', 'chan', 'gets', 'fences']"
397,"['funny', 'ask']"
398,"['scam', 'shein', 'try', 'haul']"
399,"['feeling', 'superfruit']"
400,"['facing', 'anxiety']"
401,"['nasa', 'holds', 'news', 'conference', 'following', 'cassini', 'grand', 'finale']"
402,"['shape', 'water', 'red', 'band', 'trailer']"
